Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,FT%,TRB,AST,STL,BLK,PF,PTS
Greg Monroe,PF,24,DET,69,57,2137,423,853,0.496,0.75,704,142,78,34,148,1098
E'Twaun Moore,SG,25,CHI,56,0,504,62,139,0.446,0.6,46,33,20,6,45,149
Eric Moreland,PF,23,SAC,3,0,2,1,1,1,,1,0,0,0,1,2
Darius Morris,PG,24,BRK,38,0,299,36,106,0.34,0.444,27,48,9,0,20,83
Marcus Morris,PF,25,PHO,81,35,2045,331,763,0.434,0.628,385,133,63,16,188,845
Markieff Morris,PF,25,PHO,82,82,2581,512,1100,0.465,0.763,506,192,101,39,245,1258
Anthony Morrow,SG,29,OKC,74,0,1806,285,615,0.463,0.888,195,60,54,11,135,790
Donatas Motiejunas,PF,24,HOU,71,62,2037,353,700,0.504,0.602,421,130,56,34,203,855
Timofey Mozgov,C,28,TOT,81,80,2045,314,566,0.555,0.718,591,55,33,97,227,785
Shabazz Muhammad,SG,22,MIN,38,13,866,194,397,0.489,0.717,154,44,18,7,49,512
Toure' Murry,SG-PG,25,TOT,5,0,18,2,5,0.4,1,1,1,1,0,2,6
Mike Muscala,PF,23,ATL,40,8,502,83,151,0.55,0.88,119,25,16,19,52,197
Shabazz Napier,PG,23,MIA,51,10,1012,87,228,0.382,0.786,113,130,40,4,76,261
Gary Neal,SG,30,TOT,54,1,1193,188,503,0.374,0.867,129,100,23,1,88,543
Jameer Nelson,PG,32,TOT,63,29,1407,205,504,0.407,0.667,146,253,47,6,136,523
Andrew Nicholson,PF,25,ORL,40,3,492,83,190,0.437,0.6,82,22,6,12,51,194
Joakim Noah,C,29,CHI,67,67,2049,190,427,0.445,0.603,646,312,48,74,203,485
Nerlens Noel,C,20,PHI,75,71,2311,302,653,0.462,0.609,611,128,133,142,208,744
Lucas Nogueira,C,22,TOR,6,0,23,2,8,0.25,0.5,11,1,2,0,6,6
Steve Novak,SF-PF,31,TOT,35,0,197,22,56,0.393,0,22,11,0,2,23,63
Dirk Nowitzki,PF,36,DAL,77,77,2282,487,1062,0.459,0.882,457,143,39,33,160,1333
Jusuf Nurkic,C,20,DEN,62,27,1103,171,383,0.446,0.636,382,50,52,68,207,426
Johnny O'Bryant,PF,21,MIL,34,15,368,44,120,0.367,0.444,64,17,5,4,44,100
Kyle O'Quinn,PF,24,ORL,51,17,824,119,242,0.492,0.772,199,59,31,39,110,294
Victor Oladipo,SG,22,ORL,72,71,2573,473,1086,0.436,0.819,302,295,120,19,187,1292
Kelly Olynyk,C,23,BOS,64,13,1423,251,528,0.475,0.684,303,109,64,39,213,656
Arinze Onuaku,C,27,MIN,6,1,68,12,14,0.857,0.375,21,4,1,3,6,27
Zaza Pachulia,C,30,MIL,73,45,1730,240,529,0.454,0.788,500,178,80,21,170,606
Kostas Papanikolaou,SF,24,HOU,43,1,795,69,197,0.35,0.722,118,85,29,13,71,182
